[File]
VBOX202410301214310001, Whole Session.csv
[Information]
2025-01-07T04:09:53.0838173Z
[Unit]
num,state,state,state,state,hh:mm:ss.ss,ddd°mmm.mmmmm',ddd°mmm.mmmmm',km/h,deg,m,km/h,,num,hh:mm:ss.ss,hh:mm:ss.ss,g,(null),m,s,g,g,g
[Column name]
Satellites,BrakeTrigger,DGPS,Rtk,WavFile,Time,Latitude,Longitude,Velocity,Heading,Height,Vertical_velocity,Solution_Type,AviFileIndex,AviSyncTime,sampleperiod,ComboAcc,Combo_G,Distance,ElapsedTimeSeconds,CombinedAcceleration,LateralAcceleration,LongitudinalAcceleration
016,0,0,0,0,01:14:34.16,33°0016.66884000 S,148°0046.01461800 W,031.198,279.96,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+2.600515E-02,2.600515E-02,00011.298,1.360000,+00.077,+00.058,+00.051,
016,0,0,0,0,01:14:34.20,33°0016.66881000 S,148°0046.01439600 W,031.316,279.66,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+3.791064E-02,3.791064E-02,00011.645,1.400000,+00.142,+00.115,+00.084,
016,0,0,0,0,01:14:34.24,33°0016.66878000 S,148°0046.01417400 W,031.450,279.56,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+6.689301E-02,6.689301E-02,00011.994,1.440000,+00.103,+00.040,+00.095,
016,0,0,0,0,01:14:34.28,33°0016.66875000 S,148°0046.01394600 W,031.565,279.66,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+7.381525E-02,7.381525E-02,00012.344,1.480000,+00.090,-00.038,+00.081,
016,0,0,0,0,01:14:34.32,33°0016.66871400 S,148°0046.01372400 W,031.626,279.64,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+5.861574E-02,5.861574E-02,00012.695,1.520000,+00.044,+00.007,+00.043,
016,0,0,0,0,01:14:34.36,33°0016.66868400 S,148°0046.01349600 W,031.741,279.47,+00500.250,000.389,001,0001,-000000001,00:00:00.04,+7.170350E-02,7.170350E-02,00013.047,1.560000,+00.106,+00.067,+00.081,
016,0,0,0,0,01:14:34.40,33°0016.66865400 S,148°0046.01326800 W,031.921,279.36,+00500.240,000.389,001,0001,-000000001,00:00:00.04,+1.009684E-01,1.009684E-01,00013.401,1.600000,+00.135,+00.044,+00.127,
016,0,0,0,0,01:14:34.44,33°0016.66862400 S,148°0046.01304000 W,032.033,279.35,+00500.230,000.389,001,0001,-000000001,00:00:00.04,+9.056651E-02,9.056651E-02,00013.756,1.640000,+00.079,+00.003,+00.079,
016,0,0,0,0,01:14:34.48,33°0016.66858800 S,148°0046.01281200 W,032.155,279.45,+00500.240,000.389,001,0001,-000000001,00:00:00.04,+8.799165E-02,8.799165E-02,00014.113,1.680000,+00.095,-00.039,+00.086,
016,0,0,0,0,01:14:34.52,33°0016.66855800 S,148°0046.01259000 W,032.026,279.73,+00500.240,000.389,001,0001,-000000001,00:00:00.04,+1.748999E-02,1.748999E-02,00014.469,1.720000,+00.144,-00.111,-00.091,
016,0,0,0,0,01:14:34.56,33°0016.66852200 S,148°0046.01235600 W,032.238,279.53,+00500.240,000.389,001,0001,-000000001,00:00:00.04,+7.423217E-02,7.423217E-02,00014.826,1.760000,+00.170,+00.079,+00.150,
016,0,0,0,0,01:14:34.60,33°0016.66849200 S,148°0046.01213400 W,032.231,279.41,+00500.230,000.389,001,0001,-000000001,00:00:00.04,+3.631886E-02,3.631886E-02,00015.185,1.800000,+00.048,+00.048,-00.005,
016,0,0,0,0,01:14:34.64,33°0016.66846200 S,148°0046.01190600 W,032.184,279.51,+00500.230,000.389,001,0001,-000000001,00:00:00.04,+8.438302E-04,8.438302E-04,00015.543,1.840000,+00.054,-00.042,-00.033,
016,0,0,0,0,01:14:34.68,33°0016.66842600 S,148°0046.01167200 W,032.447,279.63,+00500.230,000.389,001,0001,-000000001,00:00:00.04,+9.382325E-02,9.382325E-02,00015.902,1.880000,+00.192,-00.047,+00.186,
